"Coin","CurrentPrice","Time","DailyGain","DailyRating","DailyPosition","DailyVolume","60.0.Gain","60.0.Rating","60.0.Position","60.0.Volume","60.1.Gain","60.1.Rating","60.1.Position","60.1.Volume","60.Trajectory","60.VolumeIncrease","60.VolumePercent","3600.0.Gain","3600.0.Rating","3600.0.Position","3600.0.Volume","3600.1.Gain","3600.1.Rating","3600.1.Position","3600.1.Volume","3600.Trajectory","3600.VolumeIncrease","3600.VolumePercent","0.HourTrajectory","1.HourTrajectory","86400.0.Gain","86400.0.Rating","86400.0.Position","86400.0.Volume","86400.1.Gain","86400.1.Rating","86400.1.Position","86400.1.Volume","86400.Trajectory","86400.VolumeIncrease","86400.VolumePercent","0.DayTrajectory","1.DayTrajectory"
"KNC-USD","2.6699","6/2/2021 3:46:44 PM","1.2665","1.6531","Middle","24724668.3","1.0019","0.0129","Middle","1688.4","1.0000","0.0126","Middle","2688.1","0.0019","0.6281","0.0001","0.9725","0.0631","Middle","468089.1","0.9871","0.0746","Middle","969793.6","-0.0146","0.4827","0.0189","-0.0146","-0.0129","1.1333","1.3281","Middle","22988582.8","1.3956","1.1399","Middle","7650515.4","-0.2623","3.0048","0.9298","-0.0148","-0.3956"
"STORJ-USD","1.1407","6/2/2021 3:46:46 PM","1.0902","1.0147","Middle","10785915.67","0.9988","0","Bottom","371.45","0.9986","0","Bottom","318.97","0.0002","1.1645","0.0000","1.0087","0.0907","Middle","70496.22","0.9952","0.0628","Middle","169753.97","0.0135","0.4153","0.0065","0.0135","-0.0034","1.0781","0.8546","Middle","10622933.13","0.9701","0.1688","Middle","2712099.8","0.1080","3.9169","0.9849","-0.0036","0.0285"
"STORJ-USD","1.1664","6/2/2021 4:44:08 PM","1.1202","1.5012","Middle","11420968.67","0.9990","0","Bottom","24982.47","0.9989","0","Bottom","3534.32","0.0001","7.0685","0.0022","1.0184","0.2643","Middle","653954.43","1.0128","0.1404","Middle","96219.85","0.0056","6.7965","0.0573","0.0056","0.0139","1.1001","1.3648","Middle","11356590.82","0.9701","0.1688","Middle","2712099.8","0.1300","4.1874","0.9944","0.0138","0.0288"
"KNC-USD","2.5614","6/2/2021 5:12:57 PM","1.0835","0.7897","Middle","24074200.9","1.0033","0.0401","Middle","23506.2","0.9999","0.0027","Middle","8728.7","0.0034","2.6930","0.0010","0.9939","0.0506","Middle","115920.3","0.9648","0.1090","Middle","871105.6","0.0291","0.1331","0.0048","0.0291","-0.0351","1.0893","0.8399","Middle","24097707.1","1.3956","1.1399","Middle","7650515.4","-0.3063","3.1498","1.0010","-0.0385","-0.3957"
"NMR-USD","49.1007","6/2/2021 6:10:17 PM","0.9965","0.4689","Middle","69443.937","0.9996","0","Bottom","9.967","0.9986","0.0204","Middle","39.197","0.0010","0.2543","0.0001","0.9978","0.0071","Middle","177.9","1.0105","0.3951","Middle","1719.763","-0.0127","0.1034","0.0026","-0.0127","0.0119","1.0013","0.1061","Middle","105.749","1.0015","0.5722","Middle","74857.602","-0.0002","0.0014","0.0015","0.0109","-0.0029"
"KNC-USD","2.5897","6/2/2021 6:38:04 PM","1.0270","0.8949","Middle","22475058.9","0.9997","0.0021","Middle","7741.8","1.0018","0.0098","Middle","579.9","-0.0021","13.3502","0.0003","0.9627","0.0153","Middle","434621.5","1.0376","0.4194","Middle","1170281.2","-0.0749","0.3714","0.0193","-0.0749","0.0358","0.9627","0.0153","Middle","434621.5","1.1372","1.3841","Middle","25152068","-0.1745","0.0173","0.0193","0.0379","-0.1354"
"NU-USD","0.3186","6/2/2021 7:35:57 PM","1.0670","0.8425","Middle","16866011.067566","1.0003","0.0003","Top","420.9571","0.9978","0","Bottom","25672.178222","0.0025","0.0164","0.0000","1.0019","0.1004","Middle","248842.029779","0.9928","0.0871","Middle","274954.964001","0.0091","0.9050","0.0148","0.0091","-0.0050","0.9944","0.1081","Middle","533124.04492","1.0515","1.0466","Middle","17654847.200666","-0.0571","0.0302","0.0316","-0.0075","-0.0537"
"KNC-USD","2.6296","6/2/2021 7:36:07 PM","1.1033","1.0661","Middle","21470346.2","1.0024","0.0038","Top","233.2","1.0024","0.0146","Middle","212.4","0.0000","1.0979","0.0000","0.9925","0.0679","Middle","158335.2","0.9874","0.1914","Middle","628798.4","0.0051","0.2518","0.0074","0.0051","-0.0150","0.9819","0.1508","Middle","787133.6","1.1372","1.3841","Middle","25152068","-0.1553","0.0313","0.0367","-0.0150","-0.1348"
"NU-USD","0.3436","6/2/2021 8:33:00 PM","1.1355","1.9174","Middle","25289909.098803","1.0009","0.0012","Top","16602.573919","1.0012","0.0303","Middle","58588.758202","-0.0003","0.2834","0.0007","1.0259","0.5702","Middle","6462584.538375","1.0564","0.6142","Middle","2246237.941187","-0.0305","2.8771","0.2555","-0.0305","0.0552","1.0785","1.3026","Middle","8983777.443563","1.0515","0.5211","Middle","17654847.200666","0.0270","0.5089","0.3552","0.0555","-0.0503"
"REN-USD","0.5745","6/2/2021 8:33:13 PM","0.9460","0.0046","Middle","18981598.718588","0.9962","0","Bottom","18497.003608","1.0033","0.0741","Middle","32248.539256","-0.0071","0.5736","0.0010","0.9984","0.0581","Middle","378905.749196","0.9842","0","Bottom","529335.58195","0.0142","0.7158","0.0200","0.0142","-0.0191","0.9625","0.0046","Middle","1707517.336398","0.9519","0.7163","Middle","22452557.192575","0.0106","0.0761","0.0900","-0.0120","0.0514"
